,oare_id,label,excavation_no,transliteration,pdf
182,5a259396-70b6-49ec-a72c-fb01ab396273,Cuneiform Tablet Kt 91/k 355 (AKT 8 3),Kt 91/k 355,um-ma i-li-a a-šur-re-ṣí en-nam-a-šur ù da-dí-a-ma a-na e-la-ma qí-bi4-ma 0.83333 ma-na LÁ 2 GÍN KÙ.BABBAR ša KÙ a-la-ḫi-im ša li-bi4 na-ru-qí-kà ni-il5-qé-a-šu-ma ší-ma-am ni-iš-a-ma ku-na-a ú-šé-bi4-kum lá 1 ma-na KÙ.GI ša a-na a-lá-ḫi-im a-ta ša-áp-kà-tí-ni 1.66666 ma-na KÙ.BABBAR ni-il5-qé-ma ší-ma-am ni-iš-a-ma a-šur-lá-ma-sí ú-šé-ri-a-kum 0.33333 ma-na KÙ.BABBAR ša ší-im ANŠE.ḪI.A ša a-na a-lá-ḫi-im tù-šé-bi4-lá-ni a-na li-bi4 lu-qú-tí-kà na-dí en-nam-a-šur ù šu-IŠTAR DUMU da-da-nim ú-šé-ṣí-ú-ni-kum 20 ma-na URUDU iš-tí DINGIR-ba-ni 8 ma-na URUDU iš-tí aḫ-ma-a ni-il5-qé-ma 4 TÚG šu-ru-tim ni-iš-a-ma en-nam-a-šur ù šu-IŠTAR DUMU da-da-nim ub-lu-ni-kum a-šu-mì KÙ.BABBAR ša É A.BA ša na-ru-uq a-la-ḫi-im ša ta-áš-pu-ra-ni qá-at-kà ù qá-sú ša a-la-ḫi-im a-šur-DU10 il5-qé ší-ma-am iš-a-ma ú-šé-ṣí né-nu mì-ma ú-lá ni-il5-qé,8
199,82bf5ea9-8a5a-4396-9a98-0f4afc7c9ad2,Cuneiform Tablet Kt 91/k 522 (AKT 8 210),Kt 91/k 522,É ša IŠTAR-lá-ma-sí ù a-šùr-DU10 a-na 2.5 ma-na KÙ.BABBAR a-na ša-lim-ma i-dí-nu-ma KÙ.BABBAR ší-im É-šu-nu a-šùr-DU10 ù IŠTAR-lá-ma-sí ša-bu-ú É-bé-tù ša ša-lim-ma šu-ma ma-ma-an a-na É-be-tí i-tù-a-ar-ší-im a-šùr-DU10 ù IŠTAR-lá-ma-sí ú-bu-bu-ší ṭup-pá-am ša ší-im É-be-tí a-ni-ú-tim ša ku-nu-uk nu-a-im be-el É pá-nim a-šùr-DU10 a-na ša-lim-ma i-dí-in IGI {d}UTU-ba-ni IGI a-šur-ma-lik IGI sú-in-SIPA,8
299,004a7dbd-57ce-46f8-9691-409be61c676e,Cuneiform Tablet Kt 94/k 1122 (AKT 6c 705),Kt 94/k 1122,KIŠIB ma-nu-ba-lúm-a-šur DUMU ṣí-lá-{d}IM KIŠIB šu-{d}EN.LÍL DUMU ma-nu-ki-a-šur KIŠIB MAN-a-šur DUMU a-ta-a 0.33333 ma-na 2 GÍN KÙ.BABBAR SIG5 i-ṣé-er PUZUR4-a-šur DUMU a-ta-a a-lá-ḫu-um i-šu iš-tù ḫa-muš-tim ša ì-lí-dan ITU.KAM ša ke-na-tim li-mu-um e-na-sú-in a-na ITU 14 ḫa-am-ša-tim i-ša-qal šu-ma lá iš-qú-ul 1.5 GÍN.TA a-na 1 ma-na-im i-na ITU.1.KAM ṣí-ib-tám ú-ṣa-áb,6c
725,009fb838-8038-42bc-ad34-5f795b3840ee,Cuneiform Tablet Kt 94/k 1041A (AKT 6a 43),Kt 94/k 1041A,KIŠIB šu-{d}EN.LÍL DUMU šu-ku-bi-im KIŠIB ṣí-lu-lu DUMU ú-ku i-nu-mì i-dí-a-bu-um a-wa-sú iq-bi-ú 10 ma-na KÙ.BABBAR a-na ša-lim-a-šùr i-dí-in um-ma šu-ut-ma i-ṣí-ba-at KÙ-pì-a li-il5-qé,6a
2475,c3cbcb45-835e-4139-a6e2-ced1d7882bca,Cuneiform Tablet Kt 94/k 586 (AKT 6d 859),Kt 94/k 586,<gap>-na GÍR ša a-šur iṣ-ba-at-ma a-šur-ma-lik DUMU {d}UTU-na-ṣí-ir pí-šu iš-me a-šur-ta-ak-lá-ku DUMU a-<gap> tap-pá-ú-šu,6d
2477,ba4a0bcd-4396-45d3-982d-3cac8f813cbb,Cuneiform Tablet Kt 94/k 874 (AKT 6e 1024),Kt 94/k 874,KIŠIB i-dí-{d}IM DUMU a-šur-DU10 KIŠIB šu-<gap> KIŠIB a-šur-<gap>-šu-um <gap> ša a-lu-lá-a <gap> ša a-dí <gap>,6e
2478,cf805746-2c01-4d8f-9989-b70bb7bc6432,Cuneiform Tablet Kt 94/k 877 (AKT 6b 463),Kt 94/k 877,a-na ša ki-ma i-a-tí ù bé-lá-nim KIŠIB en-um-a-šur,6b
2479,670fd68e-c736-4589-bc60-370b9150e1aa,Cuneiform Tablet Kt 94/k 878 (AKT 6b 520),Kt 94/k 878,ṭup-pu-a ḫa-ru-mu-tum me-eḫ-ru-a ú ta-aḫ-sí-sà-tum,6b
2480,2395a816-d162-493e-9186-2e0a2214affa,Cuneiform Tablet Kt 94/k 879 (AKT 6e 1025),Kt 94/k 879,ta-aḫ-sí-sà-tum ša tám-kà-ru-tim,6e
2481,574c81cd-2ba4-4245-9193-79382d4e43d1,Cuneiform Tablet Kt 94/k 1059 (AKT 6c 591),Kt 94/k 1059,a-na a-lá-ḫi-im DUMU ša-lim-a-šur KIŠIB zu-ku-a DUMU a-šur-i-dí,6c
2482,d22fb58c-8aa8-466f-a018-1966c9056da3,Cuneiform Tablet Kt 94/k 1061 (AKT 6a 16),Kt 94/k 1061,ṭup-pu-ú ša ḫu-bu-ul i-dí-a-bi4-im ni-a-im,6a
2483,06ec260a-bcc5-4762-b2ee-dfbc10cfbfbe,Cuneiform Tablet Kt 94/k 1062 (AKT 6a 55),Kt 94/k 1062,ṭup-pu-ú ḫa-ru-mu-tum ša ší-bi-a ša me-er-e i-dí-a-bi4-im,6a
2484,e70d1d21-2e63-4812-86f8-a1661ee4a9cc,Cuneiform Tablet Kt 94/k 1063 (AKT 6d 864),Kt 94/k 1063,KIŠIB en-um-a-šur DUMU šu-{d}EN.LÍL KIŠIB šu-IŠTAR DUMU šu-ki-tim,6d
2485,f6235a36-85bc-420d-bf1e-e6d3d6f42c8a,Cuneiform Tablet Kt 94/k 1184 (AKT 6a 15),Kt 94/k 1184,na-áš-pá-ar-tám ša KÙ.BABBAR <gap> ša i-dí-a-bu-um a-na ṣé-er i-tur4-DINGIR ù a-lá-ḫi-im ú-šé-bi4-lá-ni,6a
2486,0d255d81-e958-4ba8-9b2d-f7a865ed6548,Cuneiform Tablet Kt 94/k 1185 (AKT 6d 778),Kt 94/k 1185,KIŠIB ba-zi-a šu-ḫu-bur ù ku-ul-ma-ku-ul-ma na-áš-pé-er-tí ma-ma-ḫi-ir ša 3 ma-na KÙ ú-šé-ru-šu-nu-tí-ni,6d
2487,d52b7a5b-bde2-4432-94d2-e1e8b163446b,Cuneiform Tablet Kt 94/k 1286 (AKT 6d 867),Kt 94/k 1286,ṭup-pu-um ša en-na-sú-en6 DUMU i-dí-a-bi-im,6d
2488,681d6731-e05f-41b7-be62-51398bb8e956,Cuneiform Tablet Kt 94/k 1290 (AKT 6e 1082),Kt 94/k 1290,DUB ḫa-ru-mu-tum ša nu-a-e,6e
2489,870b143f-9c29-499b-8c6e-c0ed2be5eea8,Cuneiform Tablet Kt 94/k 1431 (AKT 6e 1093),Kt 94/k 1431,ṭup-pu-ú ša ni-iš a-lim{ki} ku-nu-uk ba-ší,6e
2546,aefa478d-c47d-42d2-a3b5-3f150603ccee,Cuneiform Tablet Kt 92/k 203 (AKT 5 2),Kt 92/k 203,um-ma kà-ru-um kà-ni-iš-ma a-na ša-qí-il5 da-tim ku-li-a ší-ip-ri-ni kà-ri-im dur4-ḫu-mi-it ḫa-tù-uš ta-am-ni-a tù-ùḫ-pí-a a-dí ni-na-ša-a qí-bi4-ma i {d}UTU-ši ṭup-pì-ni ta-ša-me-a-ni GÍR ša a-šur šé-ṣí-a-ma ik-ri-ba-am šu-uk-na-ma ma-ma-an KÙ.AN a-na ší-mì-im a-na É.GAL-lim i-dí-nu lu a-dí-ni lá i-dí-in-ma na-ší 10-tim ša KÙ.AN ú 1 ma-na um 3 GÍN KÙ.BABBAR ša-du-a-sú ṣa-áb-ta-ma ku-li-a i pá-ni-šu li-ni-iš-a-am šu-ma i-qá-bi4 um-ma šu-ut-ma KÙ.AN ša a-wi-lim ša NÍG.KA-sí 10-tim ú ša-du-a-tám li-qé-a-ma ša ba-ri-ni li-li-kam-ma GÍR ša a-šur li-it-ma-ma ša-du-a-tám nu-ta-ar-šu-um i-da-ma IGI ku-li-a ší-ip-ri-ni GÍR ša a-šur šé-ṣí-a-ma a-ḫu-um pá-ni a-ḫi-im ú-lá ú-ba-al ma-ma-an ḫa-ra-an sú-ki-nim e-ma-re sé-er-dam ú-šé-ri-ba-ni-ma a-ma-kam uš-té-bu-lu-ni lu wa-ší-ib kà-ri-im 1 ma-na-um 3 GÍN KÙ.BABBAR ša-áš-qí-lá-šu-ma ku-li-a i pá-ni-šu li-ni-iš-a-am šu-ma i-qá-be um-ma šu-ut-ma a-lá-ak-ma i kà-ri-im kà-ni-ìš a-za-ku KÙ.BABBAR ša-áš-qí-lá-šu-ma war-kà-tám li-li-kam-ma iš-tí-ni li-iz-ku a-ni-ša-am lá i-na-pu-ša-am a-na-kam KÙ.BABBAR li-iš-qú-ul,5
2547,55b115ac-6a6d-48e6-86df-ff449b4b346b,Cuneiform Tablet Kt 92/k 207 (AKT 5 5),Kt 92/k 207,um-ma kà-ru-um kà-ni-iš-ma a-na ku-li-a ša-qí-il5 da-tim kà-ri-im té-ga-ra-ma ù a-li i-dí-a-šùr DUMU ku-ku-lá-nim wa-áš-bu-ni qí-bi-ma ni-kà-sí ni-sí-ma 25 ma-na 4.25 GÍN da-tám ni-iš-qúl i-dí-a-šùr a-na ni-kà-sí kà-ší-id iš-tù 5 ša-na-tim a-na wa-aḫ-šu-ša-na ú dur4-ḫu-mi-it ni-iš-ta-pár-šu-ma a-di u4-mì-im a-nim i-ta-ba-al-ni-a-tí a-ma-kam KÙ.BABBAR da-a-sú ša ga-me-er-tim ša-áš-qí-lá-šu šu-ma i-qá-bi4 um-ma šu-ut-ma a-na ga-me-er-tim lá kà-áš-da-ku ša mì-iš-li ša-áš-qí-lá-šu šu-ma um-ma šu-ut-ma a-na ni-kà-sí a-gi5-me-er-tim ú mì-iš-li lá kà-áš-da-ku GÍR ša a-šur ta-mì-a-šu 40 ma-na KÙ.BABBAR lá ma-ṣú-ni 30 ma-na KÙ.BABBAR lá kà-áš-du-ni 20 ma-na KÙ.BABBAR ša mì-iš-li-šu lá i-šu-ú-ni KÙ.BABBAR lu ša ra-mì-ni-šu lu ša um-mì-a-ni-šu ša a-lim{ki} lu ša GÍN-lam5 wa-áš-bu KÙ.BABBAR ma-lá na-áš-a-ku-ni lu wa-ar-ki-a e-zi-ib lu a-na pá-ni-a ú-šé-bi4-il5 a-na ni-kà-sí a-na ga-me-er-tim ú mì-iš-li lá kà-áš-da-ku-ni GÍR ta-mì-a-šu-ma ú ša-du-a-sú IGI GÍR li-iz-ku-ur-ma e-ša-du-a-tim ša i-za-ku-ru mì-ma ša-du-a-tám DIRI-tám lá i-šu-ú ša-du-a-sú le-qé-a,5
2548,99923b12-2acd-4eb4-9e1a-56b85c475a76,Cuneiform Tablet Kt 92/k 224 (AKT 5 4),Kt 92/k 224,um-ma kà-ru-um kà-ni-iš-ma a-na kà-ar kà-ar-ma ú wa-bar-ra-tim a-dí tù-ùḫ-pí-a qí-bi-ma ku-li-a ší-pár-ni a-na ta-ʾi-tim ša-pí-ir 2-ší-na mu-qá-ri-bé dí-na-šu-ma kà-ru-um a-na kà-ri-im li-ip-qí-sú lá tù-ša-as-ḫa-ra-šu ša i-na mu-qá-ri-be ta-bi-ra šu-ma a-lá-kam iš-tí ku-li-a lá i-mu-ú kà-sí-a-šu-ma šé-ri-a-ni-šu,5
2549,3e87aad8-cd8c-4f8d-96e9-c68e062d4a1a,Cuneiform Tablet Kt 92/k 221 (AKT 5 1),Kt 92/k 221,um-ma kà-ru-um kà-ni-iš-ma a-na ša-qí-il5 da-tim ší-ip-ri-ni kà-ar kà-ar-ma ú wa-bar-ra-tim qí-bi4-ma ṭup-pu-um ša a-lim{ki} i-li-kam i-na ṭup-pì-im ša a-lim{ki} iš-tù u4-mì-im a-nim ma-ma-an KÙ.AN i-ša-ú-mu-ni i-na né-mì-lim da-šùr ú-lá e-WA iš-ra-tí-šu kà-ru-um kà-ni-iš i-lá-qé ki-ma ṭup-pì-ni ta-áš-me-a-ni a-ma-kam lu a-na ší-mì-im a-na É.GAL-lim i-dí-in lu té-ra-at É.GAL-lim ú-kà-lim lu na-ší-ma a-dí-ni lá i-dí-in ma-lá KÙ.AN na-áš-ú ni-bi4-it a-ší-im šu-um-šu ú šu-mì a-bi4-šu i-na ṭup-pì-im lu-up-ta-nim-ma iš-tí ší-ip-ri-ni šé-bi4-lá-nim me-ḫe-er ṭup-pì-ni a-na kà-ar kà-ar-ma ú wa-bar-ra-tim šé-bi4-lá KÙ.AN lu a-na DAM.GÀR-ru-tim i-dí-in šu-mì a-wi-lim lu-up-ta-nim,5
2567,11672d83-b960-4dad-8399-05c077aead07,Cuneiform Tablet Kt 92/k 200 (AKT 5 3),Kt 92/k 200,um-ma kà-ru-um kà-ni-iš-ma a-na ša-qí-il5 da-tim ku-li-a ší-ip-ri-ni wa-bar-tim ša ku-bur-na-at ḫa-na-ak-na-ak ú tí-iš-mur-na TUR GAL qí-bi4-ma i {d}UTU-ši ṭup-pì-ni ta-ša-me-a-ni GÍR ša a-šur IGI ku-li-a ší-ip-ri-ni šé-ṣí-a-ma ma-ma-an a-ma-kam KÙ.AN na-áš-ú lu a-na ší-mì-im a-na É.GAL-lim i-dí-nu lu a-dí-ni lá i-dí-in-ma na-ší 10-tim ša KÙ.AN ú ša-du-a-sú 1 ma-na-um 3 GÍN KÙ.BABBAR ša-ás-qí-lá-ma ku-li-a i pá-ni-šu-nu lu-ub-lam šu-ma i-qá-bi4 um-ma šu-ut-ma KÙ.AN ša a-wi-lim ša NÍG.KA-sí 10-tim ú ša-du-a-sú le-qé-a-ma ša ba-ri-ni li-li-kam-ma GÍR ša a-šur li-it-ma-ma ša-du-a-sú nu-ta-ar ni-ša-me-ma 30 ANŠE tù-i-mu-um DUMU a-šùr{ki} ḫa-ra-an sú-qí-nim ú-šé-ri-ba-am lá tù-i-mu-um ma-ma-an ḫa-ra-an sú-ki-nim e-ma-re sé-er-dam ú-šé-ri-ba-ni-ma a-ma-kam uš-té-bu-lu-ni lu wa-ší-ib kà-ri-im ú-šé-li-am GÍR ša a-šur šé-ṣí-a-ma a-ḫu-um pá-ni a-ḫi-im ú-lá ú-ba-al 1 ma-na um 3 GÍN KÙ.BABBAR ša-du-a-sú ṣa-áb-ta-ma KÙ.BABBAR ša-áš-qí-lá-šu-ma ku-li-a i pá-ni-šu-nu li-ni-iš-a-am šu-ma i-qá-be um-ma šu-ut-ma a-lá-ak-ma i kà-ri-im kà-ni-iš a-za-ku KÙ.BABBAR ša-áš-qí-lá-šu-ma war-kà-tám li-li-kam-ma iš-tí-ni li-iz-ku i-da-ma ku-li-a ší-pár-ni lá i-sa-ḫu-ur KÙ.BABBAR ša-áš-qí-lá a-ni-ša-am a-na na-pá-ší-im lá tù-ša-ra,5
